# Continuous evolution trace log
global_time,t,x,a
0.000000,0.000000,0.000000,10.000000
0.101110,0.101110,1.011100,10.000000
0.202220,0.202220,2.022200,10.000000
0.303330,0.303330,3.033300,10.000000
0.404440,0.404440,4.044400,10.000000
0.505550,0.505550,5.055500,10.000000
0.606660,0.606660,6.066600,10.000000
0.707770,0.707770,7.077700,10.000000
0.808880,0.808880,8.088800,10.000000
0.909990,0.909990,9.099900,10.000000
1.011100,1.011100,10.111000,10.000000
global_time,t,x,a
1.011100,0.000000,10.111000,10.000000
1.112210,0.101110,11.122100,10.000000
1.213320,0.202220,12.133200,10.000000
1.314430,0.303330,13.144300,10.000000
1.415540,0.404440,14.155400,10.000000
1.516650,0.505550,15.166500,10.000000
1.617760,0.606660,16.177600,10.000000
1.718870,0.707770,17.188700,10.000000
1.819980,0.808880,18.199800,10.000000
1.921090,0.909990,19.210900,10.000000
2.022200,1.011100,20.222000,10.000000
global_time,t,x,a
2.022200,0.000000,20.222000,10.000000
2.123310,0.101110,21.233100,10.000000
2.224420,0.202220,22.244200,10.000000
2.325530,0.303330,23.255300,10.000000
2.426640,0.404440,24.266400,10.000000
2.527750,0.505550,25.277500,10.000000
2.628860,0.606660,26.288600,10.000000
2.729970,0.707770,27.299700,10.000000
2.831080,0.808880,28.310800,10.000000
2.932190,0.909990,29.321900,10.000000
3.033300,1.011100,30.333000,10.000000
global_time,t,x,a
3.033300,0.000000,30.333000,10.000000
3.134410,0.101110,31.344100,10.000000
3.235520,0.202220,32.355200,10.000000
3.336630,0.303330,33.366300,10.000000
3.437740,0.404440,34.377400,10.000000
3.538850,0.505550,35.388500,10.000000
3.639960,0.606660,36.399600,10.000000
3.741070,0.707770,37.410700,10.000000
3.842180,0.808880,38.421800,10.000000
3.943290,0.909990,39.432900,10.000000
4.044400,1.011100,40.444000,10.000000
global_time,t,x,a
4.044400,0.000000,40.444000,10.000000
4.145510,0.101110,41.455100,10.000000
4.246620,0.202220,42.466200,10.000000
4.347730,0.303330,43.477300,10.000000
4.448840,0.404440,44.488400,10.000000
4.549950,0.505550,45.499500,10.000000
4.651060,0.606660,46.510600,10.000000
4.752170,0.707770,47.521700,10.000000
4.853280,0.808880,48.532800,10.000000
4.954390,0.909990,49.543900,10.000000
5.055500,1.011100,50.555000,10.000000
global_time,t,x,a
5.055500,0.000000,50.555000,10.000000
5.156610,0.101110,51.566100,10.000000
5.257720,0.202220,52.577200,10.000000
5.358830,0.303330,53.588300,10.000000
5.459940,0.404440,54.599400,10.000000
5.561050,0.505550,55.610500,10.000000
5.662160,0.606660,56.621600,10.000000
5.763270,0.707770,57.632700,10.000000
5.864380,0.808880,58.643800,10.000000
5.965490,0.909990,59.654900,10.000000
6.066600,1.011100,60.666000,10.000000
global_time,t,x,a
6.066600,0.000000,60.666000,10.000000
6.167710,0.101110,61.677100,10.000000
6.268820,0.202220,62.688200,10.000000
6.369930,0.303330,63.699300,10.000000
6.471040,0.404440,64.710400,10.000000
6.572150,0.505550,65.721500,10.000000
6.673260,0.606660,66.732600,10.000000
6.774370,0.707770,67.743700,10.000000
6.875480,0.808880,68.754800,10.000000
6.976590,0.909990,69.765900,10.000000
7.077700,1.011100,70.777000,10.000000
global_time,t,x,a
7.077700,0.000000,70.777000,10.000000
7.178810,0.101110,71.788100,10.000000
7.279920,0.202220,72.799200,10.000000
7.381030,0.303330,73.810300,10.000000
7.482140,0.404440,74.821400,10.000000
7.583250,0.505550,75.832500,10.000000
7.684360,0.606660,76.843600,10.000000
