# Continuous evolution trace log
global_time,x
0.000000,0.000000
1.000000,1.000000
2.000000,2.000000
3.000000,3.000000
4.000000,4.000000
5.000000,5.000000
6.000000,6.000000
7.000000,7.000000
8.000000,8.000000
9.000000,9.000000
10.000000,10.000000
global_time,x
10.000000,10.000000
10.010000,10.010000
10.020000,10.020000
10.030000,10.030000
10.039819,10.039819
