# Continuous evolution trace log
global_time,t,p,v,a
9.807670,0.707770,48.095195,9.807670,1.000000
9.908780,0.808880,49.091961,9.908780,1.000000
10.009890,0.909990,50.098949,10.009890,1.000000
10.111000,1.011100,51.116160,10.111000,1.000000
global_time,t,p,v,a
10.111000,0.000000,51.116160,10.111000,1.000000
10.212110,0.101110,52.143595,10.212110,1.000000
10.313220,0.202220,53.181253,10.313220,1.000000
10.414330,0.303330,54.229135,10.414330,1.000000
10.515440,0.404440,55.287239,10.515440,1.000000
10.616550,0.505550,56.355567,10.616550,1.000000
10.717660,0.606660,57.434118,10.717660,1.000000
10.818770,0.707770,58.522892,10.818770,1.000000
10.919880,0.808880,59.621890,10.919880,1.000000
11.020990,0.909990,60.731110,11.020990,1.000000
11.122100,1.011100,61.850554,11.122100,1.000000
global_time,t,p,v,a
11.122100,0.000000,61.850554,11.122100,1.000000
11.223210,0.101110,62.980221,11.223210,1.000000
11.324320,0.202220,64.120112,11.324320,1.000000
11.425430,0.303330,65.270225,11.425430,1.000000
11.526540,0.404440,66.430562,11.526540,1.000000
11.627650,0.505550,67.601122,11.627650,1.000000
11.728760,0.606660,68.781906,11.728760,1.000000
11.829870,0.707770,69.972912,11.829870,1.000000
11.930980,0.808880,71.174142,11.930980,1.000000
12.032090,0.909990,72.385595,12.032090,1.000000
12.133200,1.011100,73.607271,12.133200,1.000000
global_time,t,p,v,a
12.133200,0.000000,73.607271,12.133200,1.000000
12.234310,0.101110,74.839171,12.234310,1.000000
12.335420,0.202220,76.081293,12.335420,1.000000
12.436530,0.303330,77.333639,12.436530,1.000000
12.537640,0.404440,78.596208,12.537640,1.000000
12.638750,0.505550,79.869001,12.638750,1.000000
12.739860,0.606660,81.152016,12.739860,1.000000
12.840970,0.707770,82.445255,12.840970,1.000000
12.942080,0.808880,83.748717,12.942080,1.000000
13.043190,0.909990,85.062403,13.043190,1.000000
13.144300,1.011100,86.386311,13.144300,1.000000
global_time,t,p,v,a
13.144300,0.000000,86.386311,13.144300,1.000000
13.245410,0.101110,87.720443,13.245410,1.000000
13.346520,0.202220,89.064798,13.346520,1.000000
13.447630,0.303330,90.419376,13.447630,1.000000
13.548740,0.404440,91.784178,13.548740,1.000000
13.649850,0.505550,93.159203,13.649850,1.000000
13.750960,0.606660,94.544450,13.750960,1.000000
13.852070,0.707770,95.939922,13.852070,1.000000
13.953180,0.808880,97.345616,13.953180,1.000000
14.054290,0.909990,98.761534,14.054290,1.000000
14.155400,1.011100,100.187675,14.155400,1.000000
global_time,t,p,v,a
14.155400,0.000000,100.187675,14.155400,1.000000
14.256510,0.101110,101.624039,14.256510,1.000000
14.357620,0.202220,103.070626,14.357620,1.000000
14.458730,0.303330,104.527437,14.458730,1.000000
14.559840,0.404440,105.994470,14.559840,1.000000
14.660950,0.505550,107.471727,14.660950,1.000000
14.762060,0.606660,108.959208,14.762060,1.000000
14.863170,0.707770,110.456911,14.863170,1.000000
14.964280,0.808880,111.964838,14.964280,1.000000
15.065390,0.909990,113.482988,15.065390,1.000000
15.166500,1.011100,115.011361,15.166500,1.000000
global_time,t,p,v,a
15.166500,0.000000,115.011361,15.166500,1.000000
15.267610,0.101110,116.549958,15.267610,1.000000
15.368720,0.202220,118.098777,15.368720,1.000000
15.469830,0.303330,119.657820,15.469830,1.000000
15.570940,0.404440,121.227086,15.570940,1.000000
15.672050,0.505550,122.806576,15.672050,1.000000
15.773160,0.606660,124.396288,15.773160,1.000000
15.874270,0.707770,125.996224,15.874270,1.000000
15.975380,0.808880,127.606383,15.975380,1.000000
16.076490,0.909990,129.226765,16.076490,1.000000
16.177600,1.011100,130.857371,16.177600,1.000000
global_time,t,p,v,a
16.177600,0.000000,130.857371,16.177600,1.000000
16.278710,0.101110,132.498200,16.278710,1.000000
16.379820,0.202220,134.149252,16.379820,1.000000
16.480930,0.303330,135.810527,16.480930,1.000000
16.582040,0.404440,137.482025,16.582040,1.000000
16.683150,0.505550,139.163747,16.683150,1.000000
16.784260,0.606660,140.855692,16.784260,1.000000
16.885370,0.707770,142.557860,16.885370,1.000000
16.986480,0.808880,144.270251,16.986480,1.000000
17.087590,0.909990,145.992866,17.087590,1.000000
17.188700,1.011100,147.725704,17.188700,1.000000
global_time,t,p,v,a
17.188700,0.000000,147.725704,17.188700,1.000000
17.289810,0.101110,149.468765,17.289810,1.000000
17.390920,0.202220,151.222049,17.390920,1.000000
17.492030,0.303330,152.985557,17.492030,1.000000
17.593140,0.404440,154.759288,17.593140,1.000000
17.694250,0.505550,156.543242,17.694250,1.000000
17.795360,0.606660,158.337419,17.795360,1.000000
17.896470,0.707770,160.141819,17.896470,1.000000
17.997580,0.808880,161.956443,17.997580,1.000000
18.098690,0.909990,163.781290,18.098690,1.000000
18.199800,1.011100,165.616360,18.199800,1.000000
global_time,t,p,v,a
18.199800,0.000000,165.616360,18.199800,1.000000
18.300910,0.101110,167.461653,18.300910,1.000000
18.402020,0.202220,169.317170,18.402020,1.000000
18.503130,0.303330,171.182910,18.503130,1.000000
18.604240,0.404440,173.058873,18.604240,1.000000
18.705350,0.505550,174.945059,18.705350,1.000000
18.806460,0.606660,176.841469,18.806460,1.000000
18.907570,0.707770,178.748102,18.907570,1.000000
19.008680,0.808880,180.664958,19.008680,1.000000
19.109790,0.909990,182.592037,19.109790,1.000000
19.210900,1.011100,184.529339,19.210900,1.000000
global_time,t,p,v,a
19.210900,0.000000,184.529339,19.210900,1.000000
19.312010,0.101110,186.476865,19.312010,1.000000
19.413120,0.202220,188.434614,19.413120,1.000000
19.514230,0.303330,190.402586,19.514230,1.000000
19.615340,0.404440,192.380782,19.615340,1.000000
19.716450,0.505550,194.369200,19.716450,1.000000
19.817560,0.606660,196.367842,19.817560,1.000000
19.918670,0.707770,198.376707,19.918670,1.000000
20.019780,0.808880,200.395796,20.019780,1.000000
20.120890,0.909990,202.425107,20.120890,1.000000
20.222000,1.011100,204.464642,20.222000,1.000000
global_time,t,p,v,a
20.222000,0.000000,204.464642,20.222000,1.000000
20.323110,0.101110,206.514400,20.323110,1.000000
20.424220,0.202220,208.574381,20.424220,1.000000
20.525330,0.303330,210.644586,20.525330,1.000000
20.626440,0.404440,212.725014,20.626440,1.000000
20.727550,0.505550,214.815665,20.727550,1.000000
20.828660,0.606660,216.916539,20.828660,1.000000
20.929770,0.707770,219.027636,20.929770,1.000000
21.030880,0.808880,221.148957,21.030880,1.000000
21.131990,0.909990,223.280501,21.131990,1.000000
21.233100,1.011100,225.422268,21.233100,1.000000
global_time,t,p,v,a
21.233100,0.000000,225.422268,21.233100,1.000000
21.334210,0.101110,227.574258,21.334210,1.000000
21.435320,0.202220,229.736472,21.435320,1.000000
21.536430,0.303330,231.908909,21.536430,1.000000
21.637540,0.404440,234.091569,21.637540,1.000000
21.738650,0.505550,236.284452,21.738650,1.000000
21.839760,0.606660,238.487558,21.839760,1.000000
21.940870,0.707770,240.700888,21.940870,1.000000
22.041980,0.808880,242.924441,22.041980,1.000000
22.143090,0.909990,245.158217,22.143090,1.000000
22.244200,1.011100,247.402217,22.244200,1.000000
global_time,t,p,v,a
22.244200,0.000000,247.402217,22.244200,1.000000
22.345310,0.101110,249.656439,22.345310,1.000000
22.446420,0.202220,251.920885,22.446420,1.000000
22.547530,0.303330,254.195555,22.547530,1.000000
22.648640,0.404440,256.480447,22.648640,1.000000
22.749750,0.505550,258.775563,22.749750,1.000000
22.850860,0.606660,261.080901,22.850860,1.000000
22.951970,0.707770,263.396463,22.951970,1.000000
23.053080,0.808880,265.722249,23.053080,1.000000
23.154190,0.909990,268.058257,23.154190,1.000000
23.255300,1.011100,270.404489,23.255300,1.000000
global_time,t,p,v,a
23.255300,0.000000,270.404489,23.255300,1.000000
23.356410,0.101110,272.760944,23.356410,1.000000
23.457520,0.202220,275.127622,23.457520,1.000000
23.558630,0.303330,277.504524,23.558630,1.000000
23.659740,0.404440,279.891648,23.659740,1.000000
23.760850,0.505550,282.288996,23.760850,1.000000
23.861960,0.606660,284.696568,23.861960,1.000000
23.963070,0.707770,287.114362,23.963070,1.000000
24.064180,0.808880,289.542380,24.064180,1.000000
24.165290,0.909990,291.980620,24.165290,1.000000
24.266400,1.011100,294.429084,24.266400,1.000000
global_time,t,p,v,a
24.266400,0.000000,294.429084,24.266400,1.000000
24.367510,0.101110,296.887772,24.367510,1.000000
24.468620,0.202220,299.356682,24.468620,1.000000
24.569730,0.303330,301.835816,24.569730,1.000000
24.670840,0.404440,304.325173,24.670840,1.000000
24.771950,0.505550,306.824753,24.771950,1.000000
24.873060,0.606660,309.334557,24.873060,1.000000
24.974170,0.707770,311.854584,24.974170,1.000000
25.075280,0.808880,314.384834,25.075280,1.000000
25.176390,0.909990,316.925307,25.176390,1.000000
25.277500,1.011100,319.476003,25.277500,1.000000
global_time,t,p,v,a
25.277500,0.000000,319.476003,25.277500,1.000000
25.378610,0.101110,322.036923,25.378610,1.000000
25.479720,0.202220,324.608066,25.479720,1.000000
25.580830,0.303330,327.189432,25.580830,1.000000
25.681940,0.404440,329.781021,25.681940,1.000000
25.783050,0.505550,332.382834,25.783050,1.000000
25.884160,0.606660,334.994869,25.884160,1.000000
